Estratégia,Quantidade,Tempo,Comparações
Insere,1000,0.000165,8987
Rebaixa,1000,0.000010,1500
Insere,10000,0.002361,123631
Rebaixa,10000,0.000108,15000
Insere,100000,0.020889,1568946
Rebaixa,100000,0.000566,150000
Insere,1000000,0.189821,18951445
Rebaixa,1000000,0.006143,1500000
Insere,10000000,2.444266,223222809
Rebaixa,10000000,0.058921,15000000
Insere,100000000,27.952397,2565782300
Rebaixa,100000000,0.594687,150000000
Insere,1000000000,308.240983,28926258207
Rebaixa,1000000000,5.919181,1500000000
